,car,price,body,mileage,engV,engType,registration,year,model,drive
1668,Ford,26900.0,crossover,47,2.0,Diesel,yes,2015,Kuga,full
1669,BMW,57000.0,crossover,47,3.0,Diesel,yes,2014,X6,full
1670,Skoda,25000.0,sedan,47,1.8,Petrol,yes,2014,Octavia A7,front
1671,VAZ,3000.0,crossover,47,1.7,Gas,yes,1982,2121,full
1672,Chevrolet,28777.0,hatch,47,1.4,Other,yes,2014,Volt,front
1673,Toyota,18800.0,sedan,47,2.4,Petrol,yes,2009,Camry,front
1674,Mitsubishi,19000.0,crossover,47,2.0,Petrol,yes,2012,ASX,full
1675,Daewoo,4300.0,sedan,47,1.5,Petrol,yes,2007,Lanos,front
1676,Land Rover,96000.0,crossover,47,4.4,Diesel,yes,2013,Range Rover,full
1677,Chery,3500.0,hatch,47,1.8,Petrol,yes,2012,Kimo,front
1678,Mitsubishi,18800.0,crossover,47,3.0,Petrol,yes,2008,Pajero Wagon,full
1679,BMW,26800.0,sedan,47,2.0,Petrol,yes,2013,320,rear
1680,Audi,16800.0,hatch,47,1.2,Petrol,yes,2013,A3,front
1681,Nissan,28500.0,crossover,47,2.5,Diesel,yes,2011,Pathfinder,full
1682,Renault,6900.0,hatch,47,1.4,Petrol,yes,2012,Sandero,front
1683,Audi,16800.0,sedan,47,1.2,Petrol,yes,2013,A3,front
1684,Mercedes-Benz,115000.0,sedan,47,4.6,Petrol,yes,2013,S 500,full
1685,Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016,Touareg,full
1686,Great Wall,9800.0,crossover,47,2.4,Gas,yes,2008,Hover,full
1687,Ford,9000.0,hatch,47,1.4,Diesel,yes,2012,Fiesta,front
1688,VAZ,2700.0,sedan,47,1.2,Petrol,yes,1984,2101,rear
1689,Kia,22300.0,crossover,48,2.0,Diesel,yes,2014,Sportage,full
1690,Hyundai,12300.0,sedan,48,1.6,Petrol,yes,2013,Accent,front
1691,Hyundai,11500.0,crossover,48,1.8,Petrol,yes,2007,Tucson,
1692,Volkswagen,19999.0,other,48,2.0,Diesel,yes,2012,Eos,
1693,Mitsubishi,12500.0,other,48,1.6,Petrol,yes,2012,Lancer X,
1694,Toyota,20100.0,crossover,48,2.0,Petrol,yes,2012,Rav 4,full
1695,Hyundai,18999.0,crossover,48,2.0,Gas,yes,2011,IX35,full
1696,VAZ,6300.0,crossover,48,1.7,Petrol,yes,2011,2121,full
1697,Hyundai,21900.0,crossover,48,2.2,Diesel,yes,2012,Santa FE,full
1698,ZAZ,7000.0,hatch,48,1.6,Gas,yes,2014,Vida,
1699,Volkswagen,13500.0,hatch,48,1.4,Petrol,yes,2012,Polo,front
1700,Citroen,7950.0,van,48,1.6,Diesel,yes,2013,Berlingo ����.,front
1701,Volkswagen,22900.0,sedan,48,2.0,Petrol,yes,2013,Jetta,front
1702,Ford,1500.0,hatch,48,1.4,Petrol,yes,1989,Escort,front
1703,Volkswagen,23500.0,crossover,48,2.0,Diesel,yes,2012,Tiguan,
1704,Hyundai,18999.0,crossover,48,2.0,Gas,yes,2011,IX35,full
1705,GAZ,4550.0,sedan,48,2.3,Gas,yes,2005,31105,rear
1706,Peugeot,0.0,other,48,1.6,Diesel,yes,2014,Partner ����.,front
1707,Mitsubishi,9200.0,sedan,48,1.5,Petrol,yes,2008,Lancer X,front
1708,Opel,11550.0,sedan,48,2.2,Petrol,yes,2009,Vectra C,front
1709,Chery,7300.0,crossover,48,2.4,Petrol,yes,2008,Tiggo,
1710,BMW,40000.0,crossover,48,4.4,Petrol,yes,2009,X6,full
1711,Chery,9600.0,crossover,48,1.8,Gas,yes,2013,Tiggo,front
1712,Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013,Corolla,front
1713,Nissan,14200.0,sedan,48,2.5,Petrol,yes,2013,Teana,front
1714,Mazda,17900.0,sedan,48,2.0,Petrol,yes,2013,6,front
1715,Toyota,0.0,crossover,49,4.5,Diesel,yes,2014,Land Cruiser 200,full
1716,Toyota,20800.0,sedan,49,3.5,Petrol,yes,2011,Camry,front
1717,Nissan,15658.0,hatch,49,1.8,Other,yes,2013,Leaf,front
1718,ZAZ,1150.0,hatch,49,1.1,Other,yes,2002,1102 ������,front
1719,Mercedes-Benz,115000.0,sedan,49,4.7,Petrol,yes,2014,S 500,full
1720,Peugeot,9300.0,hatch,49,1.0,Petrol,yes,2014,107,front
1721,VAZ,2000.0,sedan,49,1.3,Petrol,yes,1974,2103,rear
1722,Chevrolet,28777.0,hatch,49,1.8,Other,yes,2014,Volt,front
1723,Land Rover,74000.0,crossover,49,3.0,Diesel,yes,2015,Range Rover Sport,full
1724,Fiat,6650.0,hatch,49,1.4,Petrol,yes,2007,Punto,front
1725,Hyundai,12900.0,crossover,49,2.7,Petrol,yes,2008,Tucson,full
1726,GAZ,2000.0,sedan,49,1.8,Petrol,yes,1990,2410,
1727,Geely,9900.0,crossover,49,1.8,Gas,yes,2013,Emgrand X7,front
1728,Porsche,42000.0,other,49,3.8,Petrol,yes,2008,911,full
1729,Infiniti,26000.0,crossover,49,3.5,Petrol,yes,2008,FX 35,full
1730,Infiniti,24900.0,crossover,49,3.5,Petrol,yes,2009,FX 35,full
1731,Porsche,67000.0,hatch,49,3.0,Diesel,yes,2012,Panamera,rear
1732,Mazda,9700.0,hatch,49,1.5,Petrol,yes,2009,2,front
1733,Chevrolet,8000.0,sedan,49,1.5,Petrol,yes,2011,Aveo,front
1734,Infiniti,27900.0,sedan,49,2.5,Petrol,yes,2013,G25,rear
1735,Hyundai,29800.0,other,49,2.4,Petrol,yes,2013,Santa FE,full
1736,Hyundai,12900.0,crossover,49,2.7,Petrol,yes,2008,Tucson,full
1737,Hyundai,12899.0,crossover,49,2.7,Petrol,yes,2008,Tucson,full
1738,Hyundai,12900.0,crossover,49,2.7,Petrol,yes,2008,Tucson,full
1739,Geely,4800.0,sedan,49,1.5,Petrol,yes,2012,MK-2,front
1740,Tesla,54000.0,sedan,49,0.1,Other,yes,2013,Model S,rear
1741,Land Rover,29500.0,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full
1742,Toyota,75500.0,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full
1743,Land Rover,99000.0,crossover,50,4.4,Diesel,yes,2013,Range Rover,full
1744,VAZ,850.0,sedan,50,1.2,Petrol,yes,1986,2101,front
1745,Volkswagen,28500.0,sedan,50,2.0,Petrol,yes,2013,Passat B7,front
1746,Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,Multivan,full
1747,Lexus,75500.0,crossover,50,4.6,Petrol,yes,2015,LX 570,full
1748,Hyundai,10500.0,hatch,50,1.4,Petrol,yes,2011,i30,front
1749,Kia,17700.0,crossover,50,2.0,Petrol,yes,2012,Sportage,front
1750,VAZ,1850.0,hatch,50,1.5,Petrol,yes,1992,2109,front
1751,Toyota,42500.0,crossover,50,3.0,Diesel,yes,2012,Land Cruiser Prado,full
1752,Toyota,32950.0,other,50,5.7,Petrol,yes,2013,Tundra,full
1753,Hyundai,13200.0,sedan,50,1.6,Other,yes,2011,Elantra,front
1754,VAZ,1500.0,sedan,50,1.45,Gas,yes,1974,2103,rear
1755,VAZ,2350.0,vagon,50,1.5,Petrol,yes,2000,2111,front
1756,Toyota,17200.0,sedan,50,1.6,Petrol,yes,2013,Corolla,front
1757,Chevrolet,6600.0,hatch,50,1.5,Gas,yes,2013,Aveo,front
1758,Ford,12500.0,hatch,50,0.9,Petrol,yes,2013,Focus,front
1759,Nissan,17500.0,hatch,50,1.8,Other,yes,2014,Leaf,front
1760,Nissan,18500.0,hatch,50,1.8,Other,yes,2014,Leaf,front
1761,Infiniti,39800.0,crossover,50,3.7,Petrol,yes,2014,QX70,full
1762,Renault,8000.0,hatch,50,1.6,Petrol,yes,2012,Sandero,front
1763,Mercedes-Benz,18900.0,other,50,3.5,Petrol,yes,2005,SLK 350,full
1764,Seat,24000.0,hatch,50,1.8,Petrol,yes,2014,Leon,front
1765,Ford,16350.0,sedan,50,2.0,Petrol,yes,2012,Mondeo,front
1766,ZAZ,1500.0,van,50,1.2,Petrol,yes,2007,110557,front
1767,Lexus,48000.0,other,50,5.7,Petrol,yes,2009,LX 570,full
1768,Suzuki,8200.0,crossover,50,1.3,Petrol,yes,1990,Samurai,full
1769,Kia,12800.0,hatch,50,1.6,Petrol,yes,2012,Soul,front
1770,Land Rover,46900.0,crossover,50,5.0,Petrol,yes,2012,Range Rover,full
1771,Hyundai,12500.0,sedan,50,1.6,Petrol,yes,2013,Elantra,front
1772,Toyota,2200.0,hatch,50,2.0,Petrol,yes,1991,Carina,front
1773,Smart,7700.0,crossover,50,1.0,Petrol,yes,2011,Forfour,
1774,Daewoo,3400.0,hatch,50,0.8,Petrol,yes,2012,Matiz,front
1775,BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,520,rear
1776,Volkswagen,32400.0,crossover,50,2.0,Diesel,yes,2014,Tiguan,full
1777,Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,Multivan,full
1778,Opel,750.0,hatch,50,1.3,Gas,no,1988,Kadett,front
1779,Opel,9800.0,hatch,50,1.2,Petrol,yes,2013,Corsa,front
1780,Mazda,21900.0,sedan,50,2.5,Petrol,yes,2013,6,
1781,Daihatsu,4500.0,hatch,50,1.0,Petrol,yes,2000,Cuore,front
1782,Peugeot,8500.0,sedan,50,1.2,Petrol,yes,2013,301,front
1783,Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
1784,Volkswagen,9000.0,sedan,51,1.6,Petrol,yes,2013,Polo,front
1785,Land Rover,46800.0,crossover,51,2.2,Other,yes,2013,Range Rover Evoque,full
1786,Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
1787,Toyota,24000.0,sedan,51,2.5,Gas,yes,2014,Camry,front
1788,Chevrolet,34000.0,other,51,3.6,Petrol,yes,2012,Camaro,rear
1789,SsangYong,11800.0,crossover,51,2.0,Diesel,yes,2011,Actyon,full
1790,Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,Polo,front
1791,Fiat,8400.0,van,51,1.3,Diesel,yes,2013,Doblo ����.,front
1792,Toyota,14850.0,hatch,51,1.6,Petrol,yes,2013,Auris,front
1793,Ford,1600.0,sedan,51,2.0,Gas,yes,1983,Sierra,rear
1794,Toyota,42900.0,crossover,51,3.0,Diesel,yes,2013,Land Cruiser Prado,full
1795,VAZ,4300.0,other,51,1.6,Petrol,yes,2012,2110,front
1796,Volkswagen,22200.0,hatch,51,2.0,Petrol,yes,2013,New Beetle,front
1797,Renault,6400.0,sedan,51,1.6,Petrol,yes,2011,Logan,front
1798,Chevrolet,18500.0,sedan,51,2.4,Gas,yes,2012,Malibu,front
1799,Nissan,17000.0,crossover,51,2.5,Petrol,yes,2011,X-Trail,full
1800,Subaru,18500.0,sedan,51,2.5,Petrol,yes,2011,Impreza,full
1801,Geely,5800.0,hatch,51,1.5,Gas,yes,2012,MK Cross,front
1802,Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
1803,Geely,5350.0,hatch,51,1.5,Petrol,yes,2012,MK Cross,front
1804,Volkswagen,11500.0,other,51,1.6,Petrol,yes,2013,Polo,
1805,Honda,30000.0,sedan,52,3.5,Gas,yes,2014,Accord,front
1806,Land Rover,40000.0,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full
1807,Tesla,58000.0,hatch,52,1.8,Other,yes,2013,Model S,front
1808,Hyundai,29999.0,crossover,52,2.2,Diesel,yes,2014,Santa FE,full
1809,Porsche,51000.0,crossover,52,3.0,Diesel,yes,2013,Cayenne,full
1810,Hyundai,14800.0,sedan,52,1.8,Petrol,yes,2012,Elantra,front
1811,Nissan,16800.0,crossover,52,1.6,Petrol,yes,2013,Qashqai,
1812,Nissan,16800.0,crossover,52,1.6,Petrol,yes,2013,Qashqai,
1813,Toyota,27400.0,crossover,52,3.5,Gas,yes,2012,Venza,full
1814,Honda,12500.0,other,52,2.4,Petrol,yes,2008,Accord,front
1815,Citroen,23000.0,van,52,1.6,Diesel,yes,2015,Grand C4 Picasso,front
1816,Kia,11800.0,crossover,52,2.5,Diesel,yes,2008,Sorento,full
1817,BMW,32000.0,crossover,52,3.0,Petrol,yes,2012,X5,full
1818,Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,Outlander,
1819,Opel,9700.0,hatch,52,1.4,Petrol,yes,2012,Astra J,front
1820,Mitsubishi,12400.0,sedan,52,1.6,Petrol,yes,2013,Lancer X,front
1821,Ford,8500.0,hatch,52,1.4,Petrol,yes,2010,Fusion,front
1822,Nissan,13500.0,crossover,52,2.0,Petrol,yes,2012,Qashqai,full
1823,Geely,9000.0,hatch,52,1.8,Gas,yes,2014,Emgrand 7 (EC7),front
1824,VAZ,1800.0,other,52,1.5,Petrol,yes,2004,2107,rear
1825,Mitsubishi,18700.0,crossover,52,2.0,Petrol,yes,2013,Outlander XL,
1826,Hyundai,9500.0,sedan,52,1.3,Petrol,yes,2011,Accent,front
1827,Mercedes-Benz,49500.0,crossover,52,3.0,Diesel,yes,2013,ML 350,full
1828,VAZ,4800.0,sedan,52,1.6,Petrol,yes,2008,2170,front
1829,Honda,19900.0,other,52,2.2,Petrol,yes,2006,S2000,rear
1830,VAZ,2200.0,vagon,52,1.5,Petrol,yes,2006,2104,rear
1831,Opel,6850.0,other,52,1.4,Petrol,yes,2012,Combo ����.,
1832,Mercedes-Benz,19900.0,other,52,1.8,Petrol,yes,2007,SLK 200,rear
1833,ZAZ,6900.0,sedan,52,1.5,Gas,yes,2013,Vida,front
1834,Toyota,12400.0,hatch,52,1.4,Other,yes,2012,Prius,front
1835,Honda,12400.0,hatch,52,1.4,Other,yes,2012,Insight,front
1836,Infiniti,20800.0,crossover,52,1.8,Other,yes,2008,EX 35,
1837,Chevrolet,29700.0,hatch,52,1.4,Other,yes,2013,Volt,front
1838,Chevrolet,29700.0,hatch,52,1.4,Other,yes,2014,Volt,front
1839,Volkswagen,25500.0,other,52,2.0,Petrol,yes,2012,Scirocco,front
1840,Mitsubishi,10600.0,crossover,52,2.0,Petrol,yes,2008,Outlander,full
1841,Porsche,50900.0,crossover,53,3.6,Petrol,yes,2013,Cayenne,full
1842,Porsche,50900.0,crossover,53,3.6,Petrol,yes,2013,Cayenne,full
1843,Audi,73500.0,sedan,53,6.3,Petrol,yes,2013,A8,full
1844,Smart,7200.0,other,53,1.0,Petrol,yes,2012,Fortwo,rear
1845,Ford,11950.0,sedan,53,1.6,Gas,yes,2013,Focus,front
1846,Volkswagen,55555.0,van,53,2.0,Diesel,yes,2013,Multivan,full
1847,ZAZ,5200.0,sedan,53,1.5,Gas,yes,2012,Lanos,front
1848,Ford,10900.0,hatch,53,1.0,Petrol,yes,2013,Focus,front
1849,Opel,6950.0,sedan,53,1.4,Petrol,yes,2006,Astra G,front
1850,Geely,8800.0,sedan,53,1.8,Petrol,yes,2013,Emgrand 7 (EC7),front
1851,Nissan,10500.0,hatch,53,1.2,Petrol,yes,2013,Micra,front
1852,Land Rover,26500.0,crossover,53,2.2,Diesel,yes,2012,Freelander,full
1853,Mercedes-Benz,22000.0,other,53,3.0,Petrol,yes,2007,CLK 280,rear
1854,Kia,9500.0,sedan,53,1.4,Petrol,yes,2012,Rio,front
1855,UAZ,7000.0,crossover,53,2.7,Petrol,yes,2009,�������,full
1856,Kia,9447.75,crossover,53,1.6,Petrol,yes,2013,Sportage,front
1857,Geely,8400.0,sedan,53,2.0,Gas,yes,2014,Emgrand 8,front
1858,Dodge,32900.0,other,53,5.7,Gas,yes,2010,RAM,full
1859,Volkswagen,55555.0,van,53,2.0,Diesel,yes,2013,Multivan,full
1860,Honda,13300.0,hatch,53,1.4,Other,yes,2012,Insight,front
1861,Hyundai,9700.0,sedan,54,1.4,Petrol,yes,2013,Accent,front
1862,Land Rover,43500.0,crossover,54,5.0,Petrol,yes,2012,Range Rover Sport,full
1863,Kia,16400.0,hatch,54,1.6,Diesel,yes,2013,Ceed,front
1864,Honda,25900.0,other,54,3.5,Petrol,yes,2012,Crosstour,full
1865,Audi,32300.0,hatch,54,2.8,Petrol,yes,2011,A6,front
1866,Hyundai,17000.0,crossover,54,2.0,Petrol,yes,2010,IX35,full
1867,Mercedes-Benz,135555.0,sedan,54,4.66,Petrol,yes,2015,S 500,full
1868,Mercedes-Benz,40500.0,crossover,54,5.5,Petrol,yes,2011,GL 500,full
1869,Nissan,13550.0,crossover,54,1.6,Petrol,yes,2011,Juke,front
1870,VAZ,1500.0,hatch,54,1.1,Gas,yes,1992,2108,front
1871,Renault,14999.0,van,54,66.0,Other,yes,2012,Kangoo ����.,front
1872,Land Rover,33500.0,crossover,54,2.0,Petrol,yes,2013,Range Rover Evoque,full
1873,Lexus,32900.0,crossover,54,3.5,Gas,yes,2010,RX 350,full
1874,Lexus,31900.0,crossover,54,3.5,Gas,yes,2010,RX 350,full
1875,SsangYong,16750.0,crossover,54,2.0,Diesel,yes,2013,Korando,front
1876,VAZ,4600.0,hatch,54,1.6,Petrol,yes,2011,2114,front
1877,Volvo,19500.0,sedan,54,1.6,Diesel,yes,2012,S60,front
1878,Peugeot,13700.0,hatch,54,1.6,Petrol,yes,2013,208,front
1879,Porsche,45900.0,crossover,54,3.6,Petrol,yes,2011,Cayenne,full
1880,Bentley,60000.0,sedan,54,6.0,Petrol,yes,2009,Continental,full
1881,Nissan,16000.0,crossover,54,1.6,Petrol,yes,2013,Juke,front
1882,Hyundai,6700.0,sedan,54,1.4,Petrol,yes,2008,Accent,front
1883,Ford,10499.0,hatch,54,1.4,Petrol,yes,2012,Fiesta,front
1884,VAZ,3000.0,other,54,1.6,Gas,yes,1981,2121,full
1885,Opel,19200.0,hatch,54,1.4,Other,yes,2012,Ampera,front
1886,Toyota,19200.0,hatch,54,1.4,Other,yes,2012,Prius,front
1887,Chevrolet,19200.0,hatch,54,1.4,Other,yes,2012,Volt,front
1888,Hyundai,20300.0,crossover,55,2.0,Diesel,yes,2012,IX35,full
1889,Audi,72000.0,sedan,55,6.3,Petrol,yes,2012,A8,full
1890,Chery,3000.0,hatch,55,1.1,Petrol,yes,2010,QQ,front
1891,Hyundai,16000.0,crossover,55,2.0,Gas,yes,2012,Tucson,full
1892,Hyundai,12650.0,other,55,1.4,Diesel,yes,2013,i30,front
1893,Toyota,22800.0,other,55,2.5,Petrol,yes,2013,Camry,full
1894,Seat,11500.0,hatch,55,1.6,Petrol,yes,2010,Ibiza,front
1895,Land Rover,78900.0,crossover,55,3.0,Diesel,yes,2014,Range Rover Sport,full
1896,Jaguar,30900.0,sedan,55,2.0,Petrol,yes,2013,XF,rear
1897,Rover,38500.0,crossover,55,2.3,Petrol,yes,2013,Range Rover,full
1898,Mitsubishi,9900.0,sedan,55,2.0,Other,yes,2008,Lancer X,front
1899,Kia,11000.0,hatch,55,1.6,Petrol,yes,2010,Soul,front
1900,Mercedes-Benz,41000.0,van,55,3.0,Diesel,yes,2011,Viano ����.,rear
1901,UAZ,6800.0,vagon,55,2.69,Other,yes,2007,3163,
1902,Nissan,26500.0,other,55,2.5,Diesel,yes,2013,Pathfinder,full
1903,Geely,4950.0,sedan,55,1.5,Petrol,yes,2013,MK,front
1904,Mercedes-Benz,29500.0,crossover,55,2.2,Diesel,no,2013,ML 250,full
1905,Chery,4600.0,crossover,55,1.3,Petrol,yes,2011,Beat,front
1906,Peugeot,15700.0,vagon,55,1.6,Diesel,yes,2012,3008,front
1907,Hyundai,18000.0,crossover,55,2.0,Petrol,yes,2012,IX35,full
1908,BMW,37500.0,other,55,2.0,Petrol,yes,2014,428,rear
1909,Toyota,8500.0,hatch,55,1.0,Petrol,yes,2011,Aygo,front
1910,Volvo,24000.0,vagon,55,1.6,Diesel,yes,2013,V40,front
1911,BMW,52300.0,sedan,55,3.0,Diesel,yes,2013,5 Series GT,full
1912,Infiniti,19000.0,crossover,55,4.5,Gas,yes,2007,FX 45,full
1913,Kia,10300.0,sedan,55,1.6,Petrol,yes,2013,Rio,front
1914,BMW,52300.0,sedan,55,3.0,Diesel,yes,2013,530,full
1915,Hyundai,11999.0,vagon,55,1.6,Diesel,yes,2012,i30,front
1916,Toyota,30800.0,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full
1917,Ford,8400.0,hatch,56,1.25,Petrol,yes,2012,Fiesta,front
1918,Peugeot,12800.0,hatch,56,1.6,Diesel,yes,2013,308,front
1919,Volkswagen,20500.0,hatch,56,2.0,Diesel,yes,2014,Golf VII,front
1920,Nissan,15800.0,crossover,56,2.0,Petrol,yes,2012,Qashqai,full
1921,Renault,9000.0,hatch,56,1.6,Petrol,yes,2011,Megane,front
1922,Volkswagen,10000.0,sedan,56,1.8,Petrol,no,2015,Passat B7,front
1923,Land Rover,43999.0,crossover,56,2.2,Diesel,yes,2013,Range Rover Evoque,full
1924,Jaguar,32000.0,sedan,56,2.0,Petrol,yes,2013,XF,rear
1925,Land Rover,0.0,crossover,56,3.0,Diesel,no,2014,Range Rover Sport,full
1926,Mitsubishi,9800.0,sedan,56,1.5,Petrol,yes,2011,Lancer X,front
1927,Land Rover,38500.0,other,56,2.0,Petrol,yes,2013,Range Rover Evoque,full
1928,Hyundai,11999.0,crossover,56,1.8,Petrol,yes,2009,Tucson,full
1929,Hyundai,8999.0,hatch,56,1.6,Petrol,yes,2010,i30,front
1930,Skoda,15100.0,sedan,56,1.8,Petrol,yes,2011,Octavia A5,front
1931,BMW,49000.0,vagon,56,5.0,Petrol,yes,2007,M5,rear
1932,SsangYong,16500.0,crossover,56,2.0,Diesel,yes,2013,Kyron,full
1933,Mazda,11300.0,crossover,56,2.3,Petrol,yes,2008,CX-7,full
1934,Peugeot,0.0,van,56,1.6,Petrol,yes,2011,Partner ����.,front
1935,VAZ,5250.0,sedan,56,1.6,Gas,yes,2008,2170,front
1936,Skoda,12300.0,sedan,56,1.2,Petrol,yes,2014,Rapid,front
1937,Porsche,63500.0,crossover,56,3.0,Diesel,yes,2013,Cayenne,full
1938,Mercedes-Benz,38500.0,sedan,56,2.2,Diesel,yes,2014,CLA-Class,front
1939,Daewoo,3290.0,sedan,56,1.5,Petrol,yes,2008,Nexia,front
1940,Mercedes-Benz,20500.0,sedan,56,5.0,Other,yes,2003,SL 500 (550),rear
1941,Volkswagen,18900.0,hatch,56,2.0,Petrol,yes,2012,Golf GTI,front
1942,Volkswagen,15800.0,sedan,56,1.4,Other,yes,2013,Jetta,front
1943,Toyota,7900.0,hatch,56,1.0,Gas,yes,2011,Aygo,front
1944,Porsche,54900.0,crossover,56,3.0,Diesel,yes,2012,Cayenne,full
1945,Mazda,21000.0,crossover,56,2.0,Petrol,yes,2012,CX-5,full
1946,SsangYong,21950.0,crossover,56,2.7,Diesel,yes,2013,Rexton W,full
1947,Nissan,7200.0,sedan,56,3.0,Other,yes,1998,Gloria,rear
1948,Honda,28500.0,other,56,2.4,Petrol,yes,2014,Accord,front
1949,Dacia,6800.0,sedan,56,1.4,Petrol,yes,2011,Logan,front
1950,BMW,73900.0,sedan,57,4.4,Petrol,yes,2013,M5,rear
1951,Land Rover,53500.0,crossover,57,3.0,Diesel,yes,2013,Range Rover Sport,full
1952,Land Rover,53500.0,crossover,57,3.0,Diesel,yes,2013,Range Rover Sport,full
1953,Hyundai,13800.0,other,57,1.6,Petrol,yes,2012,Elantra,front
1954,Skoda,17900.0,sedan,57,1.4,Petrol,yes,2012,Superb,front
1955,Toyota,10700.0,sedan,57,1.3,Petrol,yes,2010,Corolla,front
1956,Porsche,51900.0,sedan,57,3.6,Petrol,yes,2011,Panamera,full
1957,Hyundai,11200.0,sedan,57,1.4,Gas,yes,2011,Accent,
1958,Daewoo,4600.0,sedan,57,1.3,Gas,yes,2011,Sens,front
1959,Ford,10999.0,hatch,57,1.5,Diesel,yes,2013,Fiesta,front
1960,Kia,8600.0,sedan,57,2.0,Petrol,yes,2008,Magentis,front
1961,VAZ,1700.0,hatch,57,1.5,Petrol,yes,1992,21093,front
1962,Mitsubishi,10500.0,sedan,57,1.5,Gas,yes,2011,Lancer X,front
1963,VAZ,4200.0,hatch,57,1.4,Gas,yes,2010,1119,front
1964,Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013,Passat B7,front
1965,Skoda,21300.0,hatch,57,2.0,Diesel,yes,2014,Octavia A7,front
1966,Citroen,13900.0,hatch,57,1.6,Gas,yes,2012,DS4,front
1967,VAZ,6100.0,sedan,57,1.6,Petrol,yes,2013,2170,
1968,Honda,17500.0,sedan,57,2.0,Petrol,yes,2012,Accord,front
1969,Renault,8500.0,sedan,57,1.2,Gas,yes,2013,Logan,front
1970,Ford,19700.0,sedan,57,2.0,Petrol,yes,2012,Mondeo,front
1971,Suzuki,3499.0,hatch,57,1.3,Petrol,yes,1998,Swift,front
1972,MG,10500.0,hatch,57,1.8,Petrol,yes,2014,6,front
1973,Mitsubishi,22500.0,other,57,2.5,Other,yes,2013,L 200,full
1974,Geely,7900.0,sedan,57,1.8,Petrol,yes,2014,Emgrand 7 (EC7),front
1975,VAZ,2500.0,hatch,57,1.5,Petrol,yes,2001,2109,front
1976,Skoda,16999.0,hatch,57,1.8,Petrol,yes,2013,Octavia A7,front
1977,Skoda,16999.0,sedan,57,1.8,Petrol,yes,2013,Octavia A7,front
1978,SsangYong,20500.0,crossover,57,2.7,Diesel,yes,2013,Rexton W,full
1979,Kia,21700.0,crossover,58,2.0,Diesel,yes,2012,Sportage,full
1980,Chevrolet,8900.0,sedan,58,2.0,Petrol,yes,2012,Epica,front
1981,Kia,22800.0,crossover,58,2.0,Diesel,yes,2013,Sportage,full
1982,Ford,11400.0,sedan,58,1.6,Petrol,yes,2013,Fiesta,front
1983,BMW,49000.0,sedan,58,4.4,Other,yes,2011,750,rear
1984,Mercedes-Benz,23200.0,sedan,58,1.8,Petrol,yes,2010,C-Class,rear
1985,VAZ,4999.0,vagon,58,1.6,Petrol,yes,2011,2111,front
1986,Toyota,25800.0,sedan,58,2.5,Petrol,yes,2015,Camry,
1987,Toyota,25500.0,sedan,58,2.5,Petrol,yes,2015,Camry,front
1988,Peugeot,13300.0,crossover,58,1.6,Other,yes,2013,3008,
1989,Skoda,14600.0,sedan,58,1.8,Petrol,yes,2012,Octavia A5,front
1990,Skoda,9600.0,sedan,58,1.8,Petrol,yes,2008,Superb,front
1991,Hyundai,7800.0,hatch,58,1.4,Petrol,yes,2011,i30,front
1992,Daewoo,3667.95,hatch,58,0.8,Petrol,yes,2006,Matiz,front
1993,Daewoo,5200.0,hatch,58,1.5,Petrol,yes,2013,Lanos,front
1994,Kia,9500.0,sedan,58,1.6,Petrol,yes,2013,Cerato,front
1995,Skoda,17500.0,sedan,58,1.8,Petrol,yes,2011,Superb,front
1996,Volkswagen,21550.0,crossover,58,1.4,Petrol,yes,2014,Tiguan,
1997,Hyundai,9300.0,sedan,58,1.4,Petrol,yes,2011,Accent,front
1998,Geely,10000.0,crossover,58,1.8,Gas,yes,2013,Emgrand X7,front
1999,Honda,19800.0,crossover,58,2.0,Gas,yes,2012,CR-V,full
2000,Opel,600.0,hatch,58,1.3,Petrol,yes,1986,Kadett,front
2001,Kia,28900.0,crossover,58,2.2,Diesel,yes,2013,Sorento,full
2002,BMW,65000.0,crossover,58,4.4,Petrol,yes,2014,X5,full
2003,Volkswagen,15200.0,crossover,58,2.0,Petrol,yes,2008,Tiguan,full
2004,Daewoo,10000.0,sedan,58,1.5,Petrol,yes,2014,Gentra,front
2005,Chery,3700.0,sedan,58,2.0,Petrol,yes,2007,Elara,front
2006,Honda,27600.0,other,58,2.4,Petrol,yes,2015,Accord,front
2007,Kia,17300.0,crossover,58,1.7,Diesel,yes,2012,Sportage,front
2008,Audi,33900.0,sedan,58,2.0,Petrol,yes,2014,A5,full
