,car,price,body,mileage,engV,engType,registration,year,model,drive
359,Mazda,25800.0,sedan,9,2.0,Petrol,yes,2016,6,front
360,Tesla,56000.0,sedan,9,1.8,Other,yes,2014,Model S,rear
361,Kia,7500.0,hatch,9,1.4,Petrol,yes,2008,Rio,front
362,Land Rover,106000.0,crossover,9,5.0,Petrol,yes,2013,Range Rover,full
363,Dacia,6600.0,sedan,9,1.4,Petrol,yes,2008,Logan,front
364,Mercedes-Benz,29999.0,hatch,9,1.8,Other,yes,2015,B-Class Electric Drive,front
365,Hyundai,13999.0,sedan,9,1.4,Diesel,yes,2014,i30,front
366,Mercedes-Benz,0.0,sedan,9,3.0,Diesel,yes,2014,S 350,full
367,ZAZ,7039.5,sedan,9,1.5,Gas,yes,2015,Lanos,front
368,Mercedes-Benz,125000.0,sedan,9,3.0,Diesel,yes,2014,S 350,full
369,Lexus,50500.0,crossover,9,2.0,Petrol,yes,2016,NX 200,full
370,Audi,12000.0,sedan,9,1.8,Petrol,no,2015,A4,
371,VAZ,649.0,sedan,9,1.2,Petrol,yes,1977,2101,rear
372,Mercedes-Benz,0.0,crossover,10,4.7,Petrol,yes,2016,GLS 500,full
373,Opel,3950.0,hatch,10,1.6,Gas,yes,1992,Astra F,front
374,BMW,85555.0,sedan,10,3.0,Diesel,yes,2015,640,full
375,Mazda,18900.0,sedan,10,1.5,Petrol,yes,2014,3,front
376,�UAZ,0.0,other,10,1.5,Petrol,yes,1991,969 ������,full
377,Nissan,11900.0,hatch,10,1.2,Petrol,yes,2015,Micra,front
378,Toyota,600.0,sedan,10,1.5,Petrol,yes,1979,Corolla,rear
379,Audi,3150.0,sedan,10,2.8,Petrol,yes,1991,100,front
380,Volkswagen,2600.0,van,10,2.4,Diesel,yes,1988,LT ����.,rear
381,VAZ,650.0,sedan,10,1.3,Petrol,yes,1982,2111,rear
382,Renault,13500.0,hatch,10,1.6,Petrol,yes,2014,Megane,front
383,Mercedes-Benz,46900.0,other,10,2.2,Diesel,yes,2012,E-Class,rear
384,Kia,12000.0,sedan,10,2.0,Petrol,yes,2009,Magentis,front
385,Nissan,22500.0,hatch,10,1.8,Other,yes,2015,Leaf,front
386,VAZ,1250.0,sedan,10,1.5,Petrol,yes,1989,2107,rear
387,VAZ,1300.0,sedan,10,1.6,Petrol,yes,1989,2106,rear
388,UAZ,8100.0,crossover,10,2.4,Petrol,yes,2015,31514,full
389,Chevrolet,75000.0,other,10,6.2,Petrol,yes,2011,Corvette,rear
390,VAZ,1999.0,hatch,10,1.3,Petrol,yes,1993,2109,front
